iter	PairLogit
0	0.6880865146
1	0.6825214702
2	0.6764445792
3	0.6721486016
4	0.668756867
5	0.6653427988
6	0.6624155706
7	0.6591948304
8	0.6560152556
9	0.65271254
10	0.649899506
11	0.6471051543
12	0.6443010011
13	0.6416955364
14	0.6396865941
15	0.6376209577
16	0.6350585024
17	0.6327680181
18	0.6307753804
19	0.6286646774
20	0.6267266117
21	0.6251697566
22	0.6224446598
23	0.6210164586
24	0.6184371995
25	0.6160403331
26	0.6134839492
27	0.6121000869
28	0.6105622833
29	0.608981421
30	0.6067775876
31	0.6050948918
32	0.603708972
33	0.6019997416
34	0.6008729458
35	0.5989725522
36	0.5980575151
37	0.5969453105
38	0.594988333
39	0.594249134
40	0.5924486355
41	0.5916174652
42	0.5904276719
43	0.5891326899
44	0.5873926267
45	0.586190378
46	0.5850980029
47	0.5842176744
48	0.5828323069
49	0.5812293752
50	0.579612136
51	0.5784010327
52	0.5774975737
53	0.5764012625
54	0.574887148
55	0.5742380919
56	0.5728070772
57	0.5720280078
58	0.5711222476
59	0.5694318236
60	0.5684940004
61	0.567759184
62	0.5668528793
63	0.5652835213
64	0.564217816
65	0.5636809587
66	0.5628664075
67	0.5620223433
68	0.5608372016
69	0.5595000103
70	0.5587771089
71	0.5583919824
72	0.5574275037
73	0.5565885618
74	0.5558404459
75	0.5551176309
76	0.5545641429
77	0.5540122165
78	0.5531779348
79	0.5527273855
80	0.5518289089
81	0.551097926
82	0.5504442158
83	0.5493722309
84	0.5489776174
85	0.5483370991
86	0.5477448544
87	0.5467927094
88	0.5456005993
89	0.5447594819
90	0.5439019946
91	0.5430957964
92	0.5426372838
93	0.5420288498
94	0.5414682002
95	0.5407610852
96	0.5400862581
97	0.5397147364
98	0.539360308
99	0.5388516478
100	0.5379995471
101	0.5373178728
102	0.5368280045
103	0.5364235106
104	0.5354739602
105	0.5348791567
106	0.5342297557
107	0.5338074575
108	0.5331338041
109	0.5325852802
110	0.5320652598
111	0.5312557953
112	0.5306936081
113	0.5299438097
114	0.5292470126
115	0.5281573314
116	0.5278645301
117	0.5275258115
118	0.5268876783
119	0.5265511976
120	0.5260900188
121	0.5253417989
122	0.5251473966
123	0.5247688167
124	0.5245013518
125	0.5242359603
126	0.5237014017
127	0.5233849116
128	0.5229566385
129	0.5226633018
130	0.5220061163
131	0.5216950587
132	0.5211879976
133	0.5204737797
134	0.5201996025
135	0.5197274528
136	0.5194774748
137	0.5190197045
138	0.5186510957
139	0.5182004836
140	0.517855821
141	0.5176068491
142	0.5173080561
143	0.5168049309
144	0.5164359608
145	0.5161691585
146	0.5157761582
147	0.5154674748
148	0.5152097486
149	0.5150007237
150	0.5145594293
151	0.5141958296
152	0.5139239444
153	0.5133645776
154	0.5127412756
155	0.5124637319
156	0.5122051065
157	0.5119289633
158	0.5116550955
159	0.5110954752
160	0.5107868377
161	0.5104521322
162	0.5097778759
163	0.509365118
164	0.5090765485
165	0.5086081734
166	0.5082364713
167	0.5079088212
168	0.5075767163
169	0.5074036855
170	0.5071948606
171	0.5066764307
172	0.5062897953
173	0.5061105043
174	0.5054952694
175	0.5051744574
176	0.5047995813
177	0.5046042853
178	0.5042975566
179	0.504080136
180	0.5038050754
181	0.5035671712
182	0.5033770401
183	0.5031686755
184	0.5029586887
185	0.5025883795
186	0.502299309
187	0.5019084579
188	0.5015837274
189	0.5013397418
190	0.5011384176
191	0.5009397249
192	0.5007489353
193	0.5002002585
194	0.5000679487
195	0.4999080924
196	0.4995789072
197	0.4993156064
198	0.4991053035
199	0.4990002729
200	0.4988255027
201	0.498546747
202	0.4984222194
203	0.4981960934
204	0.4979410147
205	0.4977832003
206	0.497665452
207	0.4974730267
208	0.4972773752
209	0.497034616
210	0.4968941428
211	0.4966777036
212	0.4965261545
213	0.4963382886
214	0.4958960628
215	0.4956420528
216	0.4952407034
217	0.4950863986
218	0.4948414501
219	0.4946409004
220	0.4940388456
221	0.4938027172
222	0.4936290002
223	0.493437475
224	0.4931425757
225	0.4930646909
226	0.4928535183
227	0.4925328885
228	0.4924223645
229	0.492112423
230	0.4918478875
231	0.4914237067
232	0.4911744434
233	0.4908310227
234	0.4906285256
235	0.4902401469
236	0.4900687779
237	0.4899146066
238	0.4896295702
239	0.4894489678
240	0.4891235967
241	0.4888889609
242	0.4886702231
243	0.4884428849
244	0.4882403852
245	0.488059019
246	0.4879476557
247	0.4875849143
248	0.4874452896
249	0.4871260057
250	0.4869630786
251	0.4868243926
252	0.4866899506
253	0.4865289199
254	0.4864404717
255	0.486249758
256	0.4860991103
257	0.4858835179
258	0.4857486377
259	0.4856183786
260	0.4852863686
261	0.4851038533
262	0.4849802895
263	0.4847542414
264	0.4846062606
265	0.4843869163
266	0.4841922288
267	0.4839833893
268	0.4838327743
269	0.4836069389
270	0.4834679548
271	0.4832063497
272	0.4830768339
273	0.4827946426
274	0.4826350104
275	0.4823193916
276	0.4821469556
277	0.4819790994
278	0.4817238944
279	0.4815493596
280	0.4813265343
281	0.481231307
