iter	PairLogit
126	0.4396715628
127	0.4395877122
128	0.4394383937
129	0.439375803
130	0.4392338616
131	0.4391570902
132	0.4391070493
133	0.4390562805
134	0.4389603495
135	0.4387691316
136	0.4386708211
137	0.4386280117
138	0.4385766242
139	0.4384749922
140	0.4384697119
141	0.4383950344
142	0.4383405693
143	0.4382324585
144	0.4381658592
145	0.438149838
146	0.4380446919
147	0.4379861161
148	0.4378951353
149	0.4377418098
150	0.4375626225
151	0.4374440903
152	0.4373463928
153	0.4372751935
154	0.4371090947
155	0.4370669874
156	0.4370393847
157	0.4370050642
158	0.436899139
159	0.4367990203
160	0.4367092498
161	0.4366295758
162	0.4366067201
163	0.4364248508
164	0.4363387582
165	0.4361836957
166	0.4360968927
167	0.4360966117
168	0.4358862334
169	0.4358031326
170	0.4357087478
171	0.4356263648
172	0.4355628489
173	0.4355141345
174	0.4354780326
175	0.4354127323
176	0.4353247904
177	0.4352475468
178	0.4351694914
179	0.4351576626
180	0.4351359786
181	0.4350493056
182	0.4349847913
183	0.43492028
184	0.4348777313
185	0.4348338386
186	0.4347895436
187	0.4346862005
188	0.4346182488
189	0.434577134
190	0.4345541192
191	0.4344335517
192	0.434415276
193	0.434294186
194	0.4342422803
195	0.4341218538
196	0.4340438147
197	0.433999373
198	0.4339192416
199	0.4338990702
200	0.4338710679
201	0.4338356598
202	0.4337613334
203	0.4337027543
204	0.4336810454
205	0.4336038935
206	0.4335832735
207	0.4335300184
208	0.4334484972
209	0.4334472282
210	0.4334102637
211	0.433384294
212	0.4333321995
213	0.43332164
214	0.43321603
215	0.4331427436
216	0.4330520328
217	0.4329886211
218	0.4329473971
219	0.4329234289
220	0.432857123
221	0.4328465721
222	0.4328074919
223	0.43276327
224	0.4326874584
225	0.4326136373
226	0.432538435
227	0.4325112524
228	0.4324798554
229	0.4324558822
230	0.4324376456
231	0.4324194472
232	0.4324171921
233	0.4323388848
234	0.4322842784
235	0.4322581524
236	0.4322337254
237	0.4321544782
238	0.432154109
239	0.4321207028
240	0.4321009553
241	0.4320630424
242	0.432046467
243	0.4319792838
244	0.4318851426
245	0.43188356
246	0.4318566211
247	0.4318394886
248	0.4317508428
249	0.4316846124
250	0.4316092483
251	0.431563565
252	0.431535033
253	0.4315235023
254	0.4314944814
255	0.4314941524
256	0.4314662015
257	0.4313940829
258	0.4313691355
259	0.4313054407
260	0.4312721389
261	0.4312391179
262	0.4312184613
263	0.4312114516
264	0.431182196
265	0.4311232859
266	0.4310751449
267	0.4310112795
268	0.4309257932
269	0.430918405
270	0.4308786416
271	0.4308543462
272	0.4308288901
273	0.4307486918
274	0.4306928306
275	0.4306863952
276	0.4306807874
277	0.4306401032
278	0.4306005511
279	0.4304887588
280	0.4304483001
281	0.4304480422
282	0.4304194512
283	0.4303841457
284	0.4303568829
285	0.4303211094
286	0.4302974465
287	0.4302761534
288	0.4301813313
289	0.4301609359
290	0.4301127661
291	0.4300835786
292	0.4300223289
293	0.4300131234
294	0.4299877063
295	0.4299672298
296	0.4299451502
297	0.4299184201
298	0.4298918911
299	0.4298781874
300	0.4298765163
301	0.4298573932
302	0.4298137497
303	0.4296707889
304	0.4296220655
305	0.4295788468
306	0.4295340889
307	0.4295003413
308	0.4294775007
309	0.4293953682
310	0.4293731459
311	0.4293565339
312	0.4293378132
313	0.4293253054
314	0.4293240761
315	0.4292980597
316	0.4292319129
317	0.4292150747
318	0.4291692363
319	0.4291525092
320	0.4290986951
321	0.4290464783
322	0.4290327687
323	0.4290026832
324	0.4289991558
325	0.4289806936
326	0.4289420493
327	0.4289226368
328	0.4289187262
329	0.4288763906
330	0.428872454
331	0.4288217493
332	0.4288029396
333	0.4287536505
334	0.4287473589
335	0.4287128079
336	0.4287122593
337	0.4286883877
338	0.4286810769
339	0.4286065409
340	0.4285380465
341	0.4285182
342	0.4284623982
343	0.4284489368
344	0.4284487886
345	0.4284210695
346	0.4283912883
347	0.4283655232
348	0.4283350525
349	0.4283086455
350	0.4282934443
351	0.4282819309
352	0.4282273222
353	0.4282031013
354	0.4281623508
355	0.4281530552
356	0.4281431702
357	0.4281412532
358	0.4281249079
359	0.428124088
360	0.4281042904
361	0.4280834025
362	0.4280444371
363	0.4280060966
364	0.4279821991
365	0.4279489894
366	0.4279475764
367	0.4279210725
368	0.4278996203
369	0.4278906455
370	0.4278726361
371	0.4278342554
372	0.4278341642
373	0.427830467
374	0.4277584557
375	0.4276667564
376	0.4276666704
377	0.4276507455
378	0.427646699
379	0.4276288657
380	0.4276088011
381	0.4275712701
382	0.4275385266
383	0.427477987
384	0.427463379
385	0.4273964995
386	0.427395334
387	0.4273525284
388	0.427334982
389	0.4273228807
390	0.4273141314
391	0.4272909577
392	0.4272635252
393	0.427242783
394	0.4272103099
395	0.4272103099
396	0.4272099852
397	0.4271981438
398	0.4271501493
399	0.4271194856
400	0.4271007439
401	0.427038893
402	0.4269996056
403	0.426972974
404	0.4269257546
405	0.4268755196
406	0.4268637661
407	0.4268088908
408	0.426799443
409	0.426769132
410	0.4267141321
411	0.4266966384
412	0.4266873046
413	0.4265960131
414	0.4265266404
415	0.4264759084
416	0.4264418722
417	0.4264029289
418	0.4263687654
419	0.426338865
420	0.4262969033
421	0.4262643825
422	0.4262287874
423	0.4261604161
424	0.4261165529
425	0.4260321926
426	0.4259970015
427	0.4259411871
428	0.4259052392
429	0.4258377448
430	0.4257982367
431	0.4257227145
432	0.4256639589
433	0.4256309752
434	0.4255384838
435	0.425495723
436	0.4254634049
437	0.4254348545
438	0.4253981444
439	0.4253147814
440	0.4253125513
441	0.4253112041
442	0.4252866489
443	0.425230846
444	0.425169232
445	0.4251258841
446	0.4250532659
447	0.4249946924
448	0.4249663058
449	0.4249245678
450	0.4248364697
451	0.4248235797
452	0.4247396545
453	0.4247253133
454	0.4246670578
455	0.4245734588
456	0.4245071788
457	0.4244354053
458	0.4243658451
459	0.4243229402
460	0.4242542678
461	0.4242145702
462	0.424092519
463	0.4240282297
464	0.4239175909
465	0.4238575371
466	0.4237838829
467	0.4237224916
468	0.4236744108
469	0.4236424458
470	0.4235739675
471	0.4235033104
472	0.4234647808
473	0.4233067669
474	0.4232439194
475	0.4231508767
476	0.4230702557
477	0.422969618
478	0.422895724
479	0.4228278564
480	0.422714428
481	0.4226496426
482	0.4226051206
483	0.4225513797
484	0.4224496016
485	0.4224164035
486	0.4223094411
487	0.4222184138
488	0.4221506944
489	0.422057061
490	0.4220068163
491	0.4219438628
492	0.4218876697
493	0.4217895857
494	0.4217127425
495	0.4216475848
496	0.4215861092
497	0.4215360847
498	0.4214802627
499	0.4214429328
500	0.4213512913
501	0.4212865602
502	0.4211872534
503	0.4210857803
504	0.4209995709
505	0.4209490483
506	0.4208669853
507	0.4207445582
508	0.4206487939
509	0.4205420728
510	0.4204899764
511	0.420404305
512	0.420359338
513	0.4202711684
514	0.4201875111
515	0.4201486859
516	0.4200604023
517	0.4200027974
518	0.4199045403
519	0.4197976526
520	0.4196742022
521	0.4196073202
522	0.4195298305
523	0.4194400137
524	0.4193886741
525	0.4193031523
526	0.4192453548
527	0.4191653003
528	0.4191022562
529	0.4190202752
530	0.4189257664
531	0.4188524793
532	0.4187774593
533	0.4187102227
534	0.4186419273
535	0.4185725374
536	0.4185194566
537	0.4184745632
538	0.4183688251
539	0.4183224561
540	0.4182532171
541	0.4181928196
542	0.41815345
543	0.4180965995
544	0.418046154
545	0.4179880151
546	0.4179028356
547	0.4178516979
548	0.4177840968
549	0.4177108567
550	0.417634658
551	0.4175747561
552	0.4175449258
553	0.4174827188
554	0.4174218956
555	0.4173548277
556	0.4172983644
557	0.4172586592
558	0.4171858387
559	0.4171623755
560	0.4171065504
561	0.4170813275
562	0.4169921775
563	0.4169273232
564	0.4168867558
565	0.4168078469
566	0.4167355971
567	0.4166590584
568	0.4166160605
569	0.4165543043
570	0.4164908601
571	0.4164277053
572	0.4163510629
573	0.4162788907
574	0.4162275999
575	0.4161596659
576	0.4161120064
577	0.416019304
578	0.4159498779
579	0.4158850137
580	0.4158334064
581	0.4157665363
582	0.415709593
583	0.4156330663
584	0.4155635182
585	0.4155279151
586	0.4154616725
587	0.4153795617
588	0.4153011893
589	0.4152403713
590	0.4151940123
591	0.4151344031
592	0.4150619602
593	0.4149828976
594	0.4149351134
595	0.4149156017
596	0.4148685839
597	0.4148013741
598	0.4147728345
599	0.4147551323
600	0.4147044421
601	0.4146292724
602	0.4145368319
603	0.4144584331
604	0.4143763963
605	0.4143220817
606	0.4142649248
607	0.4142285779
608	0.4141858144
609	0.4141348655
610	0.4140666474
611	0.4140101252
612	0.4139769505
613	0.4139182558
614	0.4138663044
615	0.4138429579
616	0.4137873737
617	0.4137309046
618	0.4137012562
619	0.4136572712
620	0.413588746
621	0.4135301013
622	0.4134619115
623	0.4134173654
624	0.4133835954
625	0.4133030053
626	0.4132422124
627	0.4132016349
628	0.4131441777
629	0.413085794
630	0.413024416
631	0.4129541472
632	0.4129065003
633	0.412862586
634	0.4128428079
635	0.4127827982
636	0.4127103448
637	0.4126465318
638	0.412592403
639	0.4125521824
640	0.4125239252
641	0.4124620723
642	0.4124365739
643	0.4124023054
644	0.4123586384
645	0.4123126091
646	0.4122662965
647	0.4122111949
648	0.4121866259
649	0.4121074498
650	0.4120596282
651	0.4119937008
652	0.4119253485
653	0.4119008895
654	0.4118614163
655	0.4117978885
656	0.4117339945
657	0.4116848927
658	0.4116264431
659	0.411587614
660	0.411536721
661	0.4115013699
662	0.4114688752
663	0.4114330303
664	0.4113773258
665	0.4112940627
666	0.4112510116
667	0.4111935509
668	0.4111438548
669	0.4110966469
670	0.4110384822
671	0.4110162644
672	0.4109189528
673	0.410883674
674	0.4108436763
675	0.4108033301
676	0.4107642708
677	0.4107466671
678	0.410697049
679	0.4106505328
680	0.41060814
681	0.4105598259
682	0.4105046438
683	0.4104034866
684	0.4103563989
685	0.4103276099
686	0.4102914484
687	0.4102439123
688	0.4102111886
689	0.4101557406
690	0.4101273068
691	0.410083244
692	0.4100308332
693	0.4099795875
694	0.4098994711
695	0.409808386
696	0.4097692854
697	0.4097362793
698	0.4096980176
699	0.4096740085
