iter	Passed	Remaining
398	124682	500293
399	125113	500455
400	125472	500323
401	125808	500106
402	126140	499868
403	126468	499613
404	126801	499379
405	127178	499316
406	127539	499190
407	127951	499260
408	128278	499001
409	128632	498843
410	128939	498504
411	129241	498145
412	129535	497755
413	129826	497355
414	130150	497079
415	130479	496824
416	130793	496513
417	131145	496344
418	131553	496386
419	131874	496098
420	132187	495779
421	132529	495571
422	132864	495335
423	133215	495157
424	133548	494915
425	133860	494593
426	134171	494266
427	134489	493967
428	134825	493731
429	135160	493491
430	135486	493220
431	135808	492934
432	136103	492551
433	136446	492338
434	136771	492063
435	137112	491845
436	137470	491684
437	137813	491471
438	138155	491256
439	138478	490968
440	138794	490658
441	139141	490456
442	139461	490161
443	139768	489818
444	140075	489478
445	140380	489129
446	140686	488781
447	140996	488450
448	141303	488111
449	141611	487774
450	141912	487412
451	142223	487084
452	142531	486747
453	142838	486407
454	143169	486147
455	143505	485906
456	143825	485606
457	144135	485277
458	144442	484936
459	144737	484555
460	145038	484194
461	145330	483805
462	145620	483409
463	145918	483040
464	146287	482905
465	146589	482550
466	146887	482181
467	147250	482023
468	147557	481686
469	147858	481325
470	148184	481050
471	148552	480908
472	148909	480727
473	149277	480586
474	149647	480447
475	149979	480185
476	150285	479842
477	150585	479480
478	150900	479164
479	151220	478863
480	151550	478597
481	151866	478285
482	152183	477974
483	152507	477688
484	152834	477409
485	153183	477201
486	153504	476903
487	153840	476654
488	154190	476444
489	154533	476216
490	154977	476296
491	155328	476087
492	155639	475758
493	155970	475487
494	156319	475273
495	156636	474963
496	156947	474633
497	157269	474333
498	157580	474006
499	157883	473651
500	158184	473291
501	158479	472913
502	158794	472594
503	159133	472348
504	159487	472146
505	159840	471939
506	160196	471741
507	160533	471488
508	160878	471256
509	161214	470997
510	161552	470746
511	161876	470454
512	162206	470177
513	162525	469869
514	162833	469528
515	163159	469242
516	163479	468935
517	163782	468582
518	164094	468253
519	164390	467879
520	164717	467594
521	165053	467334
522	165387	467070
523	165711	466775
524	166021	466442
525	166366	466204
526	166741	466052
527	167104	465867
528	167476	465704
529	167819	465460
530	168147	465177
531	168487	464924
532	168846	464722
533	169217	464555
534	169611	464450
535	169954	464204
536	170298	463959
537	170630	463683
538	170946	463362
539	171277	463084
540	171645	462903
541	171973	462615
542	172307	462342
543	172647	462084
544	172971	461785
545	173291	461474
546	173622	461195
547	173963	460939
548	174306	460691
549	174641	460417
550	174973	460137
551	175309	459870
552	175644	459597
553	175970	459301
554	176296	459007
555	176630	458730
556	176960	458445
557	177291	458162
558	177622	457877
559	177947	457579
560	178278	457295
561	178613	457022
562	178941	456729
563	179250	456388
564	179566	456066
565	179863	455696
566	180175	455363
567	180477	455007
568	180785	454665
569	181094	454323
570	181407	453995
571	181713	453648
572	182007	453272
573	182314	452927
574	182613	452563
575	182917	452212
576	183247	451927
577	183566	451612
578	183866	451251
579	184205	450986
580	184545	450723
581	184866	450414
582	185185	450099
583	185509	449795
584	185833	449493
585	186151	449177
586	186478	448883
587	186796	448564
588	187113	448247
589	187428	447923
590	187742	447595
591	188047	447249
592	188351	446898
593	188668	446578
594	188983	446254
595	189285	445900
596	189603	445584
597	189905	445229
598	190208	444877
599	190517	444540
