iter	PairLogit
0	0.6527843131
200	0.324259385
400	0.2423897556
600	0.1897342305
800	0.1521027573
1000	0.1240139928
1200	0.1028955153
1400	0.08615606462
1600	0.07290547218
1800	0.06206002259
1999	0.05314590193
